Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
529995,48184,DOORMAT ENGLISH ROSE ,6,2010-11-01 08:56:00,7.95,16316.0,United Kingdom
529995,48187,DOORMAT NEW ENGLAND,4,2010-11-01 08:56:00,7.95,16316.0,United Kingdom
529995,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-11-01 08:56:00,6.75,16316.0,United Kingdom
529995,22708,WRAP DOLLY GIRL,25,2010-11-01 08:56:00,0.42,16316.0,United Kingdom
529995,22781,GUMBALL MAGAZINE RACK,4,2010-11-01 08:56:00,7.65,16316.0,United Kingdom
529995,22899,CHILDREN'S APRON DOLLY GIRL ,6,2010-11-01 08:56:00,2.1,16316.0,United Kingdom
529995,22467,GUMBALL COAT RACK,12,2010-11-01 08:56:00,2.55,16316.0,United Kingdom
529995,22052,VINTAGE CARAVAN GIFT WRAP,25,2010-11-01 08:56:00,0.42,16316.0,United Kingdom
529995,22719,GUMBALL MONOCHROME COAT RACK,24,2010-11-01 08:56:00,1.25,16316.0,United Kingdom
529995,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-11-01 08:56:00,2.95,16316.0,United Kingdom
529995,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2010-11-01 08:56:00,3.25,16316.0,United Kingdom
529995,22959,WRAP CHRISTMAS VILLAGE,25,2010-11-01 08:56:00,0.42,16316.0,United Kingdom
529995,22837,HOT WATER BOTTLE BABUSHKA ,4,2010-11-01 08:56:00,4.65,16316.0,United Kingdom
529995,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2010-11-01 08:56:00,1.95,16316.0,United Kingdom
529996,22044,CHRISTMAS CARD STACK OF PRESENTS,6,2010-11-01 08:57:00,0.0,,United Kingdom
529996,22043,CHRISTMAS CARD SCREEN PRINT ,6,2010-11-01 08:57:00,0.0,,United Kingdom
529996,22264,FELT FARM ANIMAL WHITE BUNNY ,1,2010-11-01 08:57:00,0.85,,United Kingdom
529996,22659,LUNCH BOX I LOVE LONDON,1,2010-11-01 08:57:00,1.95,,United Kingdom
529996,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2010-11-01 08:57:00,1.95,,United Kingdom
529996,22195,LARGE HEART MEASURING SPOONS,1,2010-11-01 08:57:00,1.65,,United Kingdom
529996,85114A,BLACK ENCHANTED FOREST PLACEMAT,3,2010-11-01 08:57:00,1.65,,United Kingdom
529996,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2010-11-01 08:57:00,4.25,,United Kingdom
529996,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-11-01 08:57:00,14.95,,United Kingdom
529996,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,2010-11-01 08:57:00,2.95,,United Kingdom
529996,22663,JUMBO BAG DOLLY GIRL DESIGN,1,2010-11-01 08:57:00,1.95,,United Kingdom
529996,20712,JUMBO BAG WOODLAND ANIMALS,1,2010-11-01 08:57:00,1.95,,United Kingdom
529996,22816,CARD MOTORBIKE SANTA,12,2010-11-01 08:57:00,0.42,,United Kingdom
529996,22813,PACK 3 BOXES BIRD PANNETONE ,1,2010-11-01 08:57:00,1.95,,United Kingdom
529996,22044,CHRISTMAS CARD STACK OF PRESENTS,6,2010-11-01 08:57:00,0.42,,United Kingdom
529996,22043,CHRISTMAS CARD SCREEN PRINT ,6,2010-11-01 08:57:00,0.42,,United Kingdom
529996,22582,PACK OF 6 SWEETIE GIFT BOXES,2,2010-11-01 08:57:00,2.55,,United Kingdom
529996,84569B,PACK 3 FIRE ENGINE/CAR PATCHES,1,2010-11-01 08:57:00,1.25,,United Kingdom
529996,21144,PINK POODLE HANGING DECORATION ,3,2010-11-01 08:57:00,0.38,,United Kingdom
529996,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,2010-11-01 08:57:00,8.5,,United Kingdom
529997,21949,SET OF 6 STRAWBERRY CHOPSTICKS,12,2010-11-01 08:58:00,1.25,15312.0,United Kingdom
529997,22959,WRAP CHRISTMAS VILLAGE,25,2010-11-01 08:58:00,0.42,15312.0,United Kingdom
529997,16161P,WRAP ENGLISH ROSE ,25,2010-11-01 08:58:00,0.42,15312.0,United Kingdom
529997,22427,ENAMEL FLOWER JUG CREAM,3,2010-11-01 08:58:00,5.95,15312.0,United Kingdom
529997,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-11-01 08:58:00,2.95,15312.0,United Kingdom
529998,M,Manual,1,2010-11-01 09:09:00,1435.29,,RSA
C529999,M,Manual,-1,2010-11-01 09:11:00,1435.29,,RSA
530000,22073,RED RETROSPOT STORAGE JAR,1,2010-11-01 09:13:00,7.62,,United Kingdom
530000,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,3,2010-11-01 09:13:00,5.91,,United Kingdom
530000,22196,SMALL HEART MEASURING SPOONS,1,2010-11-01 09:13:00,1.66,,United Kingdom
530000,22366,DOORMAT AIRMAIL ,1,2010-11-01 09:13:00,14.43,,United Kingdom
530000,22374,AIRLINE BAG VINTAGE JET SET RED,1,2010-11-01 09:13:00,8.47,,United Kingdom
530000,22502,PICNIC BASKET WICKER SMALL,2,2010-11-01 09:13:00,8.47,,United Kingdom
530000,22629,SPACEBOY LUNCH BOX ,1,2010-11-01 09:13:00,2.51,,United Kingdom
530000,22659,LUNCH BOX I LOVE LONDON,2,2010-11-01 09:13:00,2.51,,United Kingdom
